Time	 Transit	Diff	WildType	Attached	RV	
0	28	2	30	0	0
0.6	28	4	28	0	4
1.2	28	4	28	0	4
1.8	29	4	29	0	4
2.4	29	6	29	0	6
3	28	8	28	0	8
3.6	28	8	28	0	8
4.2	27	12	27	0	12
4.8	27	14	27	0	14
5.4	29	14	29	0	14
6	28	18	28	0	18
6.6	28	18	28	0	18
7.2	28	22	28	0	22
7.8	26	26	26	0	26
8.4	25	28	25	0	28
9	25	28	25	0	28
9.6	25	28	25	0	28
10.2	27	28	27	0	28
10.8	28	28	28	0	28
11.4	29	28	29	0	28
12	30	28	30	0	28
12.6	30	30	30	0	30
13.2	31	30	31	0	30
13.8	32	30	32	0	30
14.4	33	30	33	0	30
15	33	30	33	0	30
15.6	38	30	38	0	30
16.2	39	30	39	0	30
16.8	39	30	39	0	30
17.4	42	30	42	0	30
18	41	32	41	0	32
18.6	42	32	42	0	32
19.2	42	31	42	0	31
19.8	41	33	41	0	33
20.4	42	33	42	0	33
21	41	35	41	0	35
21.6	41	35	41	0	35
22.2	41	37	41	0	37
22.8	42	37	42	0	37
23.4	43	37	43	0	37
24	44	37	44	0	37
24.6	44	37	44	0	37
25.2	43	38	43	0	38
25.8	44	38	44	0	38
26.4	45	38	45	0	38
27	48	40	48	0	40
27.6	49	44	49	0	44
28.2	49	44	49	0	44
28.8	49	44	49	0	44
29.4	50	44	50	0	44
30	50	44	50	0	44
30.6	51	44	51	0	44
31.2	53	44	53	0	44
31.8	57	46	57	0	46
32.4	59	46	59	0	46
33	56	51	56	0	51
33.6	57	51	57	0	51
34.2	56	53	56	0	53
34.8	57	53	57	0	53
35.4	57	55	57	0	55
36	59	55	59	0	55
36.6	58	57	58	0	57
37.2	57	59	57	0	59
37.8	58	59	58	0	59
38.4	58	59	58	0	59
39	56	62	56	0	62
39.6	58	62	58	0	62
40.2	57	64	57	0	64
40.8	56	66	56	0	66
41.4	57	66	57	0	66
42	58	65	58	0	65
42.6	59	67	59	0	67
43.2	60	67	60	0	67
43.8	61	69	61	0	69
44.4	63	69	63	0	69
45	64	69	64	0	69
45.6	60	76	60	0	76
46.2	60	79	60	0	79
46.8	61	79	61	0	79
47.4	63	79	63	0	79
48	63	81	63	0	81
48.6	63	80	63	0	80
49.2	64	80	64	0	80
49.8	65	80	65	0	80
50.4	65	79	65	0	79
51	66	80	66	0	80
51.6	67	80	67	0	80
52.2	67	81	67	0	81
52.8	67	81	67	0	81
53.4	68	81	68	0	81
54	68	81	68	0	81
54.6	69	82	69	0	82
55.2	69	82	69	0	82
55.8	70	81	70	0	81
56.4	69	82	69	0	82
57	73	81	73	0	81
57.6	74	82	74	0	82
58.2	74	83	74	0	83
58.8	74	82	74	0	82
59.4	74	81	74	0	81
60	74	81	74	0	81
60.6	74	85	74	0	85
61.2	74	86	74	0	86
61.8	76	86	76	0	86
62.4	77	86	77	0	86
63	77	86	77	0	86
63.6	78	85	78	0	85
64.2	79	85	79	0	85
64.8	79	85	79	0	85
65.4	81	84	81	0	84
66	82	84	82	0	84
66.6	83	85	83	0	85
67.2	83	85	83	0	85
67.8	83	83	83	0	83
68.4	83	85	83	0	85
69	82	88	82	0	88
69.6	82	87	82	0	87
70.2	85	86	85	0	86
70.8	84	90	84	0	90
71.4	85	92	85	0	92
72	84	93	84	0	93
72.6	85	92	85	0	92
73.2	85	91	85	0	91
73.8	85	90	85	0	90
74.4	86	92	86	0	92
75	86	94	86	0	94
75.6	87	93	87	0	93
76.2	87	92	87	0	92
76.8	89	91	89	0	91
77.4	91	91	91	0	91
78	92	90	92	0	90
78.6	93	88	93	0	88
79.2	94	90	94	0	90
79.8	94	90	94	0	90
80.4	95	89	95	0	89
81	94	90	94	0	90
81.6	95	90	95	0	90
82.2	96	89	96	0	89
82.8	97	88	97	0	88
83.4	98	89	98	0	89
84	100	87	100	0	87
84.6	99	88	99	0	88
85.2	97	89	97	0	89
85.8	96	90	96	0	90
86.4	95	90	95	0	90
87	96	90	96	0	90
87.6	96	89	96	0	89
88.2	97	88	97	0	88
88.8	96	90	96	0	90
89.4	96	91	96	0	91
90	99	91	99	0	91
90.6	99	90	99	0	90
91.2	100	88	100	0	88
91.8	101	87	101	0	87
92.4	102	86	102	0	86
93	103	85	103	0	85
93.6	103	86	103	0	86
94.2	100	91	100	0	91
94.8	100	92	100	0	92
95.4	100	94	100	0	94
96	100	95	100	0	95
96.6	101	95	101	0	95
